,nodeA,nodeB
746,Clinton,Trump
747,Clinton,Trump
748,Clinton,Trump
749,Clinton,Clinton
750,Clinton,Moammar Gadhafi
751,Clinton,Clinton
752,Clinton,Clinton
753,Clinton,Clinton
754,Clinton,Matt Lauer
755,Clinton,Clinton
756,Clinton,Trump
757,Clinton,Howard Stern
758,Clinton,Trump
759,Clinton,Clinton
760,Clinton,Clinton
761,Clinton,Clinton
762,Clinton,Neil Cavuto
763,Cavuto,Clinton
764,Clinton,Trump
765,Chris Matthews,Clinton
766,Clinton,Joe Scarborough
767,Clinton,Donald Trump
768,Clinton,Obama
769,Clinton,George W. Bush
770,Clinton,Matt Lauer
771,Bush,Clinton
772,Bush,Clinton
773,Clinton,Condoleezza Rice
774,Bush,Clinton
775,Bush,Clinton
776,Clinton,Nouri al-Maliki
777,Clinton,Leon Panetta
778,Clinton,Maliki
779,Clinton,Raul Castro
780,Clinton,Salman
781,Clinton,Ronald Reagan
782,Clinton,Reagan
783,Clinton,Helmut Kohl
784,Clinton,Glenn Kessler
785,Clinton,Kessler
786,Clinton,Richard Nixon
787,Clinton,Zhou Enlai
788,Clinton,Mao
789,Clinton,Nixon
790,Clinton,Clinton
791,Clinton,Clinton
792,Clinton,Obama
793,Clinton,Trump
794,Clinton,Clinton
795,Clinton,Moammar Gadhafi
796,Clinton,Lauer
797,Clinton,Ted Cruz
798,Clinton,Gadhafi
799,Clinton,Clinton
800,Clinton,Gadhafi
801,Clinton,Clinton
802,Clinton,Clinton
803,Clinton,Clinton
804,Clinton,Clinton
805,Clinton,Clinton
806,Clinton,Clinton
807,Clinton,Rachel Maddow
808,Clinton,Maddow
809,Clinton,Maddow
810,Clinton,Clinton
811,Clinton,Clinton
812,Clinton,Clinton
813,Clinton,Clinton
814,Clinton,Clinton
815,Clinton,Clinton
816,Clinton,Clinton
817,Clinton,Clinton
818,Clinton,Clinton
819,Clinton,Clinton
820,Clinton,Clinton
821,Clinton,Moammar Gadhafi
822,Clinton,Clinton
823,Clinton,Clinton
824,Clinton,Clinton
825,Clinton,Matt Lauer
826,Clinton,Clinton
827,Clinton,Trump
828,Clinton,Howard Stern
829,Clinton,Trump
830,Clinton,Clinton
831,Clinton,Clinton
832,Clinton,Clinton
833,Clinton,Neil Cavuto
834,Cavuto,Clinton
835,Clinton,Trump
836,Chris Matthews,Clinton
837,Clinton,Joe Scarborough
838,Clinton,Donald Trump
839,Clinton,Obama
840,Clinton,George W. Bush
841,Clinton,Matt Lauer
842,Bush,Clinton
843,Bush,Clinton
844,Clinton,Condoleezza Rice
845,Bush,Clinton
846,Bush,Clinton
847,Clinton,Nouri al-Maliki
848,Clinton,Leon Panetta
849,Clinton,Maliki
850,Clinton,Raul Castro
851,Clinton,Salman
852,Clinton,Ronald Reagan
853,Clinton,Reagan
854,Clinton,Helmut Kohl
855,Clinton,Glenn Kessler
856,Clinton,Kessler
857,Clinton,Richard Nixon
858,Clinton,Zhou Enlai
859,Clinton,Mao
860,Clinton,Nixon
861,Clinton,Clinton
862,Clinton,Clinton
863,Clinton,Obama
864,Clinton,Trump
865,Clinton,Clinton
866,Clinton,Moammar Gadhafi
867,Clinton,Lauer
868,Clinton,Ted Cruz
869,Clinton,Gadhafi
870,Clinton,Clinton
871,Clinton,Gadhafi
872,Clinton,Clinton
873,Clinton,Clinton
874,Clinton,Clinton
875,Clinton,Clinton
876,Clinton,Clinton
877,Clinton,Clinton
878,Clinton,Rachel Maddow
879,Clinton,Maddow
880,Clinton,Maddow
881,Clinton,Clinton
882,Clinton,Clinton
883,Clinton,Clinton
884,Clinton,Clinton
885,Clinton,Clinton
886,Clinton,Clinton
887,Clinton,Clinton
888,Clinton,Clinton
889,Clinton,Clinton
890,Clinton,Clinton
891,Clinton,Clinton
892,Clinton,Moammar Gadhafi
893,Clinton,Moammar Gadhafi
894,Clinton,Moammar Gadhafi
895,Matt Lauer,Moammar Gadhafi
896,Clinton,Moammar Gadhafi
897,Moammar Gadhafi,Trump
898,Howard Stern,Moammar Gadhafi
899,Moammar Gadhafi,Trump
900,Clinton,Moammar Gadhafi
901,Clinton,Moammar Gadhafi
902,Clinton,Moammar Gadhafi
903,Moammar Gadhafi,Neil Cavuto
904,Cavuto,Moammar Gadhafi
905,Moammar Gadhafi,Trump
906,Chris Matthews,Moammar Gadhafi
907,Joe Scarborough,Moammar Gadhafi
908,Donald Trump,Moammar Gadhafi
909,Moammar Gadhafi,Obama
910,George W. Bush,Moammar Gadhafi
911,Matt Lauer,Moammar Gadhafi
912,Bush,Moammar Gadhafi
913,Bush,Moammar Gadhafi
914,Condoleezza Rice,Moammar Gadhafi
915,Bush,Moammar Gadhafi
916,Bush,Moammar Gadhafi
917,Moammar Gadhafi,Nouri al-Maliki
918,Leon Panetta,Moammar Gadhafi
919,Maliki,Moammar Gadhafi
920,Moammar Gadhafi,Raul Castro
921,Moammar Gadhafi,Salman
922,Moammar Gadhafi,Ronald Reagan
923,Moammar Gadhafi,Reagan
924,Helmut Kohl,Moammar Gadhafi
925,Glenn Kessler,Moammar Gadhafi
926,Kessler,Moammar Gadhafi
927,Moammar Gadhafi,Richard Nixon
928,Moammar Gadhafi,Zhou Enlai
929,Mao,Moammar Gadhafi
930,Moammar Gadhafi,Nixon
931,Clinton,Moammar Gadhafi
932,Clinton,Moammar Gadhafi
933,Moammar Gadhafi,Obama
934,Moammar Gadhafi,Trump
935,Clinton,Moammar Gadhafi
936,Moammar Gadhafi,Moammar Gadhafi
937,Lauer,Moammar Gadhafi
938,Moammar Gadhafi,Ted Cruz
939,Gadhafi,Moammar Gadhafi
940,Clinton,Moammar Gadhafi
941,Gadhafi,Moammar Gadhafi
942,Clinton,Moammar Gadhafi
943,Clinton,Moammar Gadhafi
944,Clinton,Moammar Gadhafi
945,Clinton,Moammar Gadhafi
946,Clinton,Moammar Gadhafi
947,Clinton,Moammar Gadhafi
948,Moammar Gadhafi,Rachel Maddow
949,Maddow,Moammar Gadhafi
950,Maddow,Moammar Gadhafi
951,Clinton,Moammar Gadhafi
952,Clinton,Moammar Gadhafi
953,Clinton,Moammar Gadhafi
954,Clinton,Moammar Gadhafi
955,Clinton,Moammar Gadhafi
956,Clinton,Moammar Gadhafi
957,Clinton,Moammar Gadhafi
958,Clinton,Moammar Gadhafi
959,Clinton,Moammar Gadhafi
960,Clinton,Moammar Gadhafi
961,Clinton,Moammar Gadhafi
962,Clinton,Clinton
963,Clinton,Clinton
964,Clinton,Matt Lauer
965,Clinton,Clinton
966,Clinton,Trump
967,Clinton,Howard Stern
968,Clinton,Trump
969,Clinton,Clinton
970,Clinton,Clinton
971,Clinton,Clinton
972,Clinton,Neil Cavuto
973,Cavuto,Clinton
974,Clinton,Trump
975,Chris Matthews,Clinton
976,Clinton,Joe Scarborough
977,Clinton,Donald Trump
978,Clinton,Obama
979,Clinton,George W. Bush
980,Clinton,Matt Lauer
981,Bush,Clinton
982,Bush,Clinton
983,Clinton,Condoleezza Rice
984,Bush,Clinton
985,Bush,Clinton
986,Clinton,Nouri al-Maliki
987,Clinton,Leon Panetta
988,Clinton,Maliki
989,Clinton,Raul Castro
990,Clinton,Salman
991,Clinton,Ronald Reagan
992,Clinton,Reagan
993,Clinton,Helmut Kohl
